label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41
0,0.000000,0.000000,-0.287192,-0.115553,-0.541331,-0.363320,-0.725826,-0.555276,-0.866726,-0.632714,-0.284043,-0.936033,-0.382579,-1.295393,-0.441316,-1.511717,-0.488784,-1.698288,-0.108214,-0.994128,-0.103893,-1.432916,-0.102819,-1.699108,-0.090260,-1.923854,0.052861,-0.942560,0.111991,-1.340573,0.141171,-1.593775,0.166592,-1.815345,0.203839,-0.804808,0.359249,-1.047367,0.462688,-1.214780,0.554529,-1.383593
0,0.000000,0.000000,-0.283065,-0.114541,-0.534339,-0.351233,-0.711450,-0.541853,-0.845668,-0.625865,-0.279121,-0.933211,-0.380150,-1.292496,-0.435836,-1.511210,-0.479645,-1.702809,-0.102682,-0.994714,-0.100589,-1.433975,-0.099937,-1.696250,-0.088622,-1.917139,0.058960,-0.944842,0.117484,-1.345328,0.147617,-1.598804,0.173184,-1.818020,0.209241,-0.805193,0.364367,-1.050365,0.467306,-1.216735,0.557479,-1.380546
0,0.000000,0.000000,-0.277687,-0.115334,-0.526085,-0.357785,-0.701599,-0.558400,-0.844840,-0.652129,-0.278299,-0.928418,-0.378849,-1.296463,-0.433198,-1.516657,-0.473754,-1.707147,-0.099398,-0.995048,-0.097047,-1.440767,-0.096548,-1.703011,-0.084095,-1.925281,0.064515,-0.945798,0.124342,-1.351107,0.155107,-1.607242,0.182920,-1.825690,0.216282,-0.803450,0.373614,-1.058320,0.480045,-1.228475,0.575194,-1.389415
0,0.000000,0.000000,-0.279506,-0.118342,-0.532477,-0.352724,-0.711578,-0.546711,-0.852477,-0.638152,-0.284948,-0.927909,-0.385907,-1.299205,-0.440420,-1.522149,-0.481344,-1.715521,-0.104991,-0.994473,-0.105934,-1.444056,-0.106015,-1.710686,-0.093945,-1.935703,0.061439,-0.946118,0.117449,-1.354073,0.145674,-1.608877,0.170993,-1.827654,0.217571,-0.803024,0.373905,-1.061693,0.478816,-1.233161,0.572294,-1.396055
0,0.000000,0.000000,-0.278537,-0.117402,-0.527234,-0.352796,-0.700976,-0.544407,-0.840651,-0.633050,-0.284797,-0.928047,-0.389079,-1.297696,-0.446172,-1.520613,-0.490211,-1.713721,-0.106767,-0.994284,-0.111044,-1.443878,-0.110674,-1.713955,-0.098368,-1.942760,0.058579,-0.945417,0.112207,-1.352719,0.141273,-1.609660,0.166937,-1.829843,0.214109,-0.801624,0.367277,-1.060144,0.470505,-1.233736,0.562161,-1.397670
0,0.000000,0.000000,-0.275539,-0.111655,-0.523088,-0.350778,-0.699047,-0.543941,-0.843003,-0.633665,-0.293173,-0.924577,-0.399089,-1.291260,-0.459779,-1.511074,-0.506970,-1.699208,-0.118214,-0.992988,-0.122823,-1.436790,-0.123152,-1.704824,-0.111329,-1.931536,0.046502,-0.945810,0.097950,-1.346217,0.122949,-1.599055,0.144734,-1.813892,0.204368,-0.805332,0.355161,-1.059836,0.455307,-1.228436,0.544721,-1.386135
0,0.000000,0.000000,-0.279672,-0.112009,-0.530448,-0.351384,-0.705610,-0.545792,-0.850150,-0.626254,-0.303334,-0.921766,-0.406974,-1.289814,-0.466169,-1.510545,-0.511081,-1.700341,-0.126497,-0.991967,-0.134389,-1.438574,-0.138564,-1.708410,-0.129555,-1.937472,0.040815,-0.946268,0.090131,-1.351638,0.114479,-1.607571,0.137358,-1.826514,0.199095,-0.805305,0.349205,-1.060948,0.449850,-1.234201,0.540855,-1.397845
0,0.000000,0.000000,-0.279272,-0.109679,-0.529368,-0.348700,-0.707832,-0.537620,-0.860847,-0.605790,-0.307722,-0.919951,-0.415937,-1.287772,-0.477548,-1.508629,-0.523830,-1.697411,-0.129837,-0.991535,-0.140711,-1.437781,-0.146370,-1.709456,-0.138359,-1.938489,0.038304,-0.945847,0.085538,-1.351265,0.108351,-1.607045,0.129628,-1.825082,0.197888,-0.804516,0.348084,-1.060899,0.448352,-1.232140,0.538742,-1.392729
0,0.000000,0.000000,-0.276248,-0.108442,-0.528496,-0.343157,-0.708872,-0.529091,-0.857309,-0.599863,-0.302624,-0.921946,-0.413109,-1.287966,-0.476259,-1.508542,-0.523428,-1.697493,-0.124908,-0.992168,-0.137580,-1.437026,-0.146786,-1.705910,-0.141192,-1.933948,0.043530,-0.945081,0.089111,-1.352581,0.109950,-1.608343,0.129697,-1.827424,0.202613,-0.800479,0.352682,-1.056988,0.452439,-1.226340,0.542710,-1.385243
0,0.000000,0.000000,-0.274996,-0.114026,-0.527484,-0.340953,-0.711753,-0.517492,-0.852730,-0.591662,-0.303053,-0.923217,-0.415190,-1.291646,-0.481594,-1.511733,-0.532194,-1.700197,-0.125155,-0.992137,-0.135751,-1.440628,-0.144883,-1.706501,-0.139860,-1.929725,0.045121,-0.946881,0.090992,-1.354660,0.110366,-1.610891,0.128179,-1.828394,0.208981,-0.806781,0.357883,-1.070893,0.455912,-1.242001,0.544467,-1.401268
